日付,時間,会場名,ホーム,アウェイ,グループ,B戦,ステージ
2026-03-30,09:30,駒場スタジアム,武南,健大高崎,,,準決勝
2026-03-30,09:30,市立浦和高G,聖和学園,帝京大可児,,,準決勝
2026-03-30,09:30,浦和西,浦和西,野辺地西,,,研修
2026-03-30,10:30,浦和西,富士市立,野辺地西,,,研修
2026-03-30,11:30,浦和西,浦和レッズ,富士市立,,,研修
2026-03-30,12:30,浦和西,浦和西,浦和レッズ,,,研修
2026-03-30,10:30,市立浦和高G,市立浦和,旭川実業,,,研修
2026-03-30,11:30,市立浦和高G,佐野日大,旭川実業,,,研修
2026-03-30,09:30,浦和南高G,浦和南,日大明誠,,,研修
2026-03-30,10:30,浦和南高G,RB大宮,日大明誠,,,研修
2026-03-30,11:30,浦和南高G,浦和南,東北学院,,,研修
2026-03-30,09:30,堀崎公園グラウンド,浦和東,久我山,,,研修
2026-03-30,10:30,堀崎公園グラウンド,久我山,日本文理,,,研修
2026-03-30,11:30,堀崎公園グラウンド,浦和東,日本文理,,,研修
2026-03-30,09:30,浦和学院高G,浦和学院,磐田東,,,研修
2026-03-30,10:30,浦和学院高G,磐田東,新潟西,,,研修
2026-03-30,11:30,浦和学院高G,浦和学院,新潟西,,,研修
2026-03-30,09:30,与野八王子G,県立浦和,専修大学北上,,,研修
2026-03-30,10:30,与野八王子G,東海大相模,専修大学北上,,,研修
2026-03-30,12:00,駒場スタジアム,TBD,TBD,,,3位決
2026-03-30,13:15,駒場スタジアム,TBD,TBD,,,決勝
